crop,N,P,K,temperature,humidity,ph,rainfall
banana,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
blackgram,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
chickpea,41.741379310344826,68.44827586206897,80.13793103448276,18.783104853620692,17.604666794827587,7.219993733741379,79.43069077327587
coconut,22.011764705882353,16.96470588235294,30.49411764705882,27.36674199588235,94.70899720105882,5.976627836305883,167.78962313882354
coffee,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882
cotton,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
jute,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536
kidneybeans,20.75,67.54,20.05,20.1150846851,21.6053567295,5.749410585870001,105.91977754210001
lentil,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204
maize,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mango,20.132653061224488,27.071428571428573,29.979591836734695,31.179474604081634,50.211728013877554,5.791877898795918,94.7597325755102
mothbeans,22.74137931034483,47.44827586206897,20.32758620689655,28.14220438637931,52.61041867827586,6.650610822689655,50.44338174396552
mungbean,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
muskmelon,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066
orange,19.674698795180724,16.457831325301203,10.27710843373494,25.018135939397588,92.17490182433735,7.025120858698796,110.68405923373494
papaya,50.574074074074076,59.74074074074074,50.5,29.979879332037036,92.46030732833333,6.742518266814814,119.10106408555556
pigeonpeas,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
pomegranate,18.87,18.75,40.21,21.837841721999997,90.1255037895,6.4291718411700005,107.52844239699999
rice,80.875,46.03125,39.5625,23.7395137403125,81.972165775625,6.405056127625,195.88404914687501
watermelon,99.42,17.0,50.22,25.591767237499997,85.16037529360001,6.49577830157,50.7862189449
